period,country,province,phase,stage,registered_cases,incident_type
21-25/10/2024,Mozambique,Cabo Delgado,1 - 2 Fase,,16,Detencoes
15/11/2024,Mozambique,Cabo Delgado,4 Fase,1 Etapa,1,Detencoes
16-17/11/2024,Mozambique,Cabo Delgado,4 Fase,1 Etapa,0,Detencoes
18/11/2024,Mozambique,Cabo Delgado,4 Fase,1 Etapa,0,Detencoes
19-20/11/2024,Mozambique,Cabo Delgado,4 Fase,2 Etapa,0,Detencoes
21-25/11/2024,Mozambique,Cabo Delgado,4 Fase,2 Etapa,0,Detencoes
05-09/12/2024,Mozambique,Cabo Delgado,4 Fase,4 Etapa,1,Detencoes
10-14/12/2024,Mozambique,Cabo Delgado,4 Fase,4 Etapa,1,Detencoes
26/12/2024,Mozambique,Cabo Delgado,V8,,7,Detencoes
27-29/12/2024,Mozambique,Cabo Delgado,V8,,0,Detencoes
4/12/2024,Mozambique,Cabo Delgado,4 Fase,4 Etapa,21,Baleamentos
05-09/12/2024,Mozambique,Cabo Delgado,4 Fase,4 Etapa,1,Baleamentos
10-14/12/2024,Mozambique,Cabo Delgado,4 Fase,4 Etapa,1,Baleamentos
23-24/12/2024,Mozambique,Cabo Delgado,V8,,3,Baleamentos
25/12/2024,Mozambique,Cabo Delgado,V8,,5,Baleamentos
26/12/2024,Mozambique,Cabo Delgado,V8,,0,Baleamentos
27-29/12/2024,Mozambique,Cabo Delgado,V8,,0,Baleamentos
4/12/2024,Mozambique,Cabo Delgado,4 Fase,4 Etapa,2,Mortes
05-09/12/2024,Mozambique,Cabo Delgado,4 Fase,4 Etapa,1,Mortes
10-14/12/2024,Mozambique,Cabo Delgado,4 Fase,4 Etapa,0,Mortes
25/12/2024,Mozambique,Cabo Delgado,V8,,4,Mortes
26/12/2024,Mozambique,Cabo Delgado,V8,,1,Mortes
27-29/12/2024,Mozambique,Cabo Delgado,V8,,0,Mortes
21-25/10/2024,Mozambique,Gaza,1 - 2 Fase,,24,Detencoes
04-05/11/2024,Mozambique,Gaza,3 Fase,,21,Detencoes
7/11/2024,Mozambique,Gaza,3 Fase,,1,Detencoes
14/11/2024,Mozambique,Gaza,4 Fase,1 Etapa,5,Detencoes
15/11/2024,Mozambique,Gaza,4 Fase,1 Etapa,3,Detencoes
16-17/11/2024,Mozambique,Gaza,4 Fase,1 Etapa,15,Detencoes
18/11/2024,Mozambique,Gaza,4 Fase,1 Etapa,0,Detencoes
19-20/11/2024,Mozambique,Gaza,4 Fase,2 Etapa,0,Detencoes
21-25/11/2024,Mozambique,Gaza,4 Fase,2 Etapa,6,Detencoes
29/11/2024,Mozambique,Gaza,4 Fase,3 Etapa,4,Detencoes
